Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel
Angola,20210411,0,1,1,1,0,1,0,1
Angola,20210429,0,1,1,1,0,1,0,1
Angola,20210507,0,1,1,1,0,1,0,1
Angola,20210510,0,1,1,1,0,1,0,1
Argentina,20200123,0,0,0,0,0,0,0,0
Argentina,20200302,0,0,0,0,0,0,0,0
Argentina,20200304,0,0,0,0,0,0,0,0
Argentina,20200305,0,0,0,0,0,0,0,0
Argentina,20200310,0,0,0,0,0,0,0,0
Argentina,20200311,0,0,0,0,0,0,0,1
Argentina,20200316,1,0,0,0,0,0,0,1
Argentina,20200317,1,0,0,0,0,0,0,1
Argentina,20200318,1,0,0,0,0,0,0,1
Argentina,20200319,1,1,0,1,0,1,0,1
Argentina,20200320,1,1,1,1,0,1,1,1
Argentina,20200323,1,1,1,1,0,1,1,1
Argentina,20200325,1,1,1,1,0,1,1,1
Argentina,20200326,1,1,1,1,0,1,1,1
Argentina,20200328,1,1,1,1,0,1,1,1
Argentina,20200330,1,1,1,1,0,1,1,1
Argentina,20200331,1,1,1,1,0,1,1,1
Argentina,20200401,1,1,1,1,0,1,1,1
Argentina,20200403,1,1,1,1,0,1,1,1
Argentina,20200407,1,1,1,1,0,1,1,1
Argentina,20200408,1,1,1,1,0,1,1,1
Argentina,20200409,1,1,1,1,0,1,1,1
Argentina,20200411,1,1,1,1,0,1,1,1
Argentina,20200412,1,1,1,1,0,1,1,1
Argentina,20200413,1,1,1,1,0,1,1,1
Argentina,20200414,1,1,1,1,0,1,1,1
Argentina,20200417,1,1,1,1,0,1,1,1
Argentina,20200418,1,1,1,1,0,1,1,1
Argentina,20200426,1,0,1,1,0,1,1,1
Argentina,20200427,1,0,1,1,0,1,1,1
Argentina,20200429,1,0,1,1,0,1,1,1
Argentina,20200430,1,0,1,1,0,1,1,1
Argentina,20200508,1,0,1,1,0,1,1,1
Argentina,20200510,1,0,1,1,0,1,1,1
Argentina,20200511,1,0,1,1,0,1,1,1
Argentina,20200512,1,0,1,1,0,1,1,1
Argentina,20200514,1,0,1,1,0,1,1,1
Argentina,20200605,1,0,1,1,0,0,1,1
Argentina,20200619,1,0,1,1,0,0,1,1
Argentina,20200625,1,0,1,1,0,0,1,1
Argentina,20200626,1,0,1,1,0,0,1,1
Argentina,20200627,1,0,1,1,0,0,1,1
Argentina,20200701,1,0,1,1,0,0,1,1
Argentina,20200717,1,0,1,1,0,0,1,1
Argentina,20200720,1,1,1,1,0,0,1,1
Argentina,20200803,0,1,1,1,0,0,1,1
Argentina,20200807,0,0,1,1,0,0,1,1
Argentina,20200813,0,0,1,1,0,0,1,1
Argentina,20200817,0,0,1,1,0,0,1,1
Argentina,20200820,0,0,1,1,0,0,1,1
Argentina,20200821,0,0,1,1,0,0,1,1
Argentina,20200822,0,0,1,1,0,0,1,1
Argentina,20200831,0,0,1,1,0,0,1,1
Argentina,20200905,0,0,1,1,0,0,1,1
Argentina,20200910,0,0,1,1,0,0,1,1
Argentina,20200921,0,0,1,1,0,0,1,1
Argentina,20201001,0,0,1,1,0,0,1,1
Argentina,20201005,0,0,1,1,0,0,1,1
Argentina,20201009,0,0,1,1,0,0,1,1
Argentina,20201010,0,0,1,0,0,0,1,1
Argentina,20201025,0,0,1,0,0,0,0,1
Argentina,20201028,1,0,1,0,0,0,0,1
Argentina,20201106,1,0,1,0,0,0,0,1
Argentina,20201117,1,0,1,0,0,0,0,1
Argentina,20201124,1,0,1,0,0,0,0,1
Argentina,20201201,1,0,1,0,0,0,0,1
Argentina,20201208,1,0,1,0,0,0,0,1
Argentina,20201215,1,0,1,0,0,0,0,1
Argentina,20201221,1,0,1,0,0,0,0,1
Argentina,20201229,1,0,1,0,0,0,0,1
Argentina,20210105,1,0,1,0,0,0,0,1
Argentina,20210112,1,0,1,0,0,0,0,1
Argentina,20210119,1,0,1,0,0,0,0,1
Argentina,20210126,1,0,1,0,0,0,0,1
Argentina,20210201,1,0,1,0,0,0,0,1
Argentina,20210209,1,0,1,0,0,0,0,1
Argentina,20210218,0,0,1,0,0,0,0,1
Argentina,20210222,0,0,1,0,0,0,0,1
Argentina,20210223,0,0,1,0,0,0,0,1
Argentina,20210302,0,0,1,0,0,0,0,1
Argentina,20210303,0,0,1,0,0,0,0,1
Argentina,20210305,0,0,1,0,0,0,0,1
